userid,finalgrade,top_features,top_values
382d3a15b9df41f83bf2463bb079938941c0eeb04d4ac32afb46d7634d9cdb39,62.67023,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Messages_Sent","6.893, 2.456, -2.260, 1.545, 0.902"
b8351561265ff6ec72b34fd4008efef884068366f359fe6b0bb8cad0e1887cb3,55.55555,"Content_Views, Quiz_Submitted, Files_Uploaded, Module_Views, Files_Downloaded","-3.335, -3.087, -1.520, 0.776, -0.606"
0f39c4b66ccf4023163a7de92d30354bdafdccf575b83e7fc05d8521e66f9312,83.3333,"Quiz_Submitted, Quiz_Started, Files_Downloaded, Session_Start_Hour_STD, Files_Uploaded","-13.457, -1.523, -1.484, 0.840, -0.732"
d313b98625c963bbe74f4376f9a81490cb864722dc1e2fe39cbe64e0ee4f9136,100.0,"Quiz_Submitted, Quiz_Viewed, Quiz_Reviewed, Files_Uploaded, Quiz_Started","5.358, 2.219, 1.587, -1.461, -1.439"
7cbf70f1ca34d9e44281031d6d66a451e7003da0053c64c44a75de240a8dc443,88.8889,"Files_Uploaded, Quiz_Submitted, Quiz_Started, Quiz_Viewed, Files_Downloaded","3.858, 3.047, -1.344, -1.052, 0.693"
cad70a13d993fef8e494928cd38f836da7c606a93643482651ecf66a07e0de60,100.0,"Quiz_Submitted, Quiz_Started, Quiz_Reviewed, Files_Uploaded, Meeting_Joined","7.332, -2.206, 2.130, 1.488, 0.968"
f467be7a58d8748f60675486e57f299ba9c8361d7352d074533bcab50996b18a,96.11112,"Quiz_Submitted, Content_Views, Quiz_Reviewed, Files_Uploaded, Quiz_Started","6.860, -4.912, 2.564, -2.065, -2.009"
c11eee20db9d1d0ef7805b675577784b21f23e9bc850586640190160d609645d,97.5,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Module_Views","7.392, 2.659, -2.320, -1.353, 1.318"
7f91d29b4af8bda8c6e7027b8feb4acd0d0a0f0c321ac097c8f5867af7247143,11.1111,"Files_Uploaded, Session_Start_Hour_STD, Quiz_Reviewed, Quiz_Started, Module_Views","-3.481, -3.280, -2.690, -2.150, -1.839"
aea7a0b07df9949e0be1139adf8822aa6977fc1ac6189eb5b917fa4792c5a6ad,100.0,"Quiz_Reviewed, Quiz_Submitted, Forum_Views, Content_Views, Files_Uploaded","-20.009, -12.612, 7.548, 1.264, 0.983"
bde5a8a95af5e1873cf4bcf3d198911b5682f6e51202a9aa271bbb8394df5c44,100.0,"Quiz_Submitted, Session_Start_Hour_STD, Files_Uploaded, Files_Downloaded, Quiz_Reviewed","-1.701, -1.229, -1.016, 0.946, -0.797"
ebc52df00a1ef7fb68939fe3b7a8a29c14d507b09e3ea98f99b95e931ed47722,66.66665,"Files_Uploaded, Quiz_Submitted, Quiz_Viewed, Messages_Sent, Quiz_Reviewed","-2.745, 1.963, -1.698, -1.575, -1.348"
ba1eb26961367e76ae7eca43a584ab7ed34d754d603b10706a55f5a8ee1a18c3,77.7778,"Quiz_Reviewed, Files_Uploaded, Quiz_Submitted, Quiz_Viewed, Session_Interval_CV","-1.459, -1.386, -0.869, -0.866, -0.810"
a0ecb73c08e6929c97898e50900e8f49ff21026c733365d07972bea6a4f70068,50.0,"Quiz_Reviewed, Quiz_Submitted, Quiz_Viewed, Total_Time_Online, Quiz_Started","-28.145, -13.542, 3.464, -1.952, -1.897"
2629afefdf9c2630000c3349af60a38be6ca40f775d259343135c069a026a7e4,100.0,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Quiz_Started, Content_Views","7.307, 2.463, 2.260, -2.042, -0.957"
a843f884d64f79a69af0d8ed81fc9ad94b7bd74ea460af9b1796cb618b403da6,100.0,"Session_Start_Hour_STD, Module_Views, Files_Downloaded, Content_Views, Session_Interval_CV","5.241, -1.597, 1.427, 1.272, 1.260"
ef277d0b70d2b68e0b1efcffa099383b31810df2d6ba43c0b9094a06c78ee65e,88.8889,"Files_Downloaded, Quiz_Submitted, Meeting_Joined, Quiz_Reviewed, Session_Start_Hour_STD","-5.603, -3.433, -2.222, -0.887, -0.677"
2599543153475a447c6a743d378a660912dcd0618d7df162bd409011d6c9f2ef,88.8889,"Quiz_Submitted, Quiz_Reviewed, Assignments_Submitted, Files_Uploaded, Messages_Sent","-5.508, -5.118, 1.368, 1.325, -1.277"
09101290ca20eec4ba8839507775915f6d262de46c8430a82c557a512c05a86e,87.5,"Quiz_Submitted, Files_Downloaded, Files_Uploaded, Quiz_Viewed, Quiz_Started","2.214, 1.658, -1.517, 1.047, -0.991"
be0d83f474517626ee34111ace7dd39dee2675252adc4316173378367e09f802,100.0,"Quiz_Submitted, Module_Views, Files_Uploaded, Files_Downloaded, Quiz_Reviewed","-3.512, -0.993, -0.955, 0.911, -0.898"
fb32bb289db599438451e844759f6f0cc4b8356e1268190a2352e4237816255b,88.8889,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Quiz_Viewed","6.615, 2.509, -1.837, -1.539, 1.185"
fbf9d6ffdadeb3d54e3cf2274eb8e76c768b4e894f84abca0ec67946143c3722,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Quiz_Viewed, Files_Uploaded","5.637, 2.288, -1.787, -1.246, -1.120"
76923327cad6328f94daa7a0f9264fe8cf5685e9345d3ad58e1a852b359e6abc,77.36843,"Quiz_Submitted, Files_Uploaded, Files_Downloaded, Quiz_Reviewed, Quiz_Started","6.398, 2.684, -2.683, 2.586, -2.204"
78936f8710bb1a1b441f20ba8d807e00011264fecfa8be85929daf49b78f7743,75.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Messages_Sent","7.089, 2.478, -2.287, 1.699, 0.832"
8ebb1c870d018aa064d373dae4d701ba782edf93dee1308f7883367fdde28652,100.0,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Quiz_Started, Content_Views","6.174, 2.283, 2.145, -1.760, -1.275"
72a952f1a5ee4a41ec0c1f9f8143e56192de3bfe0545168c95367c580e5e1bc5,33.33333,"Content_Views, Files_Uploaded, Files_Downloaded, Quiz_Viewed, Quiz_Started","-4.443, -3.977, -1.174, 1.137, -1.129"
3052db3f70459f182d7e1b4f1f7c898c8ddea0c582a3d641c4a0e1ba2498b5e5,66.66665,"Quiz_Submitted, Files_Downloaded, Files_Uploaded, Session_Start_Hour_STD, Quiz_Started","4.907, 2.220, -2.172, 1.497, -1.052"
07ed0ebc57c872171c3ac981a6afc5d19f78aad8812bc214dcbb443db39f706c,100.0,"Quiz_Submitted, Files_Uploaded, Quiz_Viewed, Quiz_Started, Session_Start_Hour_STD","2.197, -1.828, 1.396, -1.138, -1.074"
be0d83f474517626ee34111ace7dd39dee2675252adc4316173378367e09f802,93.75,"Quiz_Submitted, Module_Views, Files_Downloaded, Session_Start_Hour_STD, Quiz_Viewed","-3.799, -1.296, 1.291, -1.181, 0.687"
99665cbe3e4942b3483099dc6c10b04dfbdae1450d20fe708ef4959461bdcf5b,77.77777,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Messages_Sent, Files_Uploaded","6.009, 2.436, -1.897, -1.430, -1.402"
f7c190c4b8ed1332de1416460f6b0469cd2be4af65b6515c4cfe8834fca8f26f,77.7778,"Files_Uploaded, Quiz_Reviewed, Quiz_Submitted, Quiz_Started, Meeting_Joined","4.175, 2.324, 1.943, -1.491, -1.374"
8c86d2bcbef34b3d7715cc3589b4c476426a0ed64337a60549fb43c2b6ae6a0d,91.66667,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Messages_Sent","6.320, 2.185, -2.118, 1.904, 0.982"
04b57db15f89937d30705ff108645154ae0db41fce4bba1f03153680250507b7,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Meeting_Joined","6.158, 2.383, -2.141, 2.045, 0.694"
4f276f3c96ea3af075511568871c50daad787c618f5fb021a58501a05a69a212,95.83335,"Files_Uploaded, Quiz_Submitted, Messages_Sent, Meeting_Joined, Assignments_Submitted","2.426, -1.216, -0.938, 0.669, -0.644"
aaebcdcd59e08c20778fd41d9de623442f86ee713f5501a7a17887a3f3a8b098,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Content_Views","7.114, 2.515, -2.222, 2.137, -1.953"
08eb9e8a98e544aa1ce2d83320d8f415c7cb15d77f60f2fe82ae3acad075e867,28.8889,"Quiz_Submitted, Avg_Time_Per_Session, Session_Start_Hour_STD, Files_Uploaded, Session_Interval_CV","-6.739, -3.871, -1.330, -1.301, -1.248"
247684297d657a2e198a8e75bd300f241211a8d55da8bf320c7710c58003498c,100.0,"Quiz_Reviewed, Quiz_Submitted, Session_Start_Hour_STD, Content_Views, Course_Views","-7.704, -5.966, 2.643, 1.945, 1.249"
cd68203277db133fa73c444f1c5edb6faf448e3999290ebccf9af2fef288a66a,100.0,"Quiz_Submitted, Files_Uploaded, Quiz_Started, Files_Downloaded, Session_Interval_CV","3.616, 2.810, -1.411, 0.799, -0.761"
5b1c19f11f8747c82f46a36d353be7d3f3f6dd900b88c846adadc45fc620b1c8,50.0,"Quiz_Submitted, Module_Views, Files_Uploaded, Course_Views, Total_Clicks","-1.268, -1.166, -1.113, -1.037, 0.944"
e65fe74878235e92fbe4869a84f135c8053ddf3bbc8ab596174ef7ab4653b6d4,66.6667,"Quiz_Reviewed, Quiz_Submitted, Module_Views, Num_Sessions, Files_Downloaded","-6.335, -6.122, -1.611, -1.117, 1.095"
66fcd449c67251ec022ca80a6e3863dbe2fe8c0dbf230687e39363631857043f,22.2222,"Quiz_Submitted, Session_Start_Hour_STD, Files_Downloaded, Files_Uploaded, Quiz_Viewed","5.078, 3.240, 2.631, -1.831, -1.600"
bd95e94656f56f9c3b511c2f01c648b732b45e74308bdb4dcf6fe2e1e14ce9d1,69.44443,"Quiz_Viewed, Files_Downloaded, Quiz_Started, Files_Uploaded, Avg_Time_Per_Session","-3.735, 2.315, -1.582, -1.302, -1.277"
04b57db15f89937d30705ff108645154ae0db41fce4bba1f03153680250507b7,55.5556,"Quiz_Submitted, Files_Uploaded, Quiz_Reviewed, Meeting_Joined, Messages_Sent","-6.979, 2.121, 2.075, -1.308, 0.590"
4f6ccf8591db8e5a2168c21947b239401dd65946b0df7a33b705bdf42ff6a289,44.44445,"Files_Uploaded, Quiz_Reviewed, Quiz_Started, Quiz_Viewed, Messages_Sent","-2.576, 1.763, -1.275, 0.914, -0.839"
d8d73d2a3d2e4d975bb9c61c2538ad3505ddd0354370063ecfdcd4d226e4c19d,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Module_Views, Files_Uploaded","8.489, 2.880, -2.449, 1.603, -1.345"
ba2062bff2162e4dd33ca2637c9f5b68a5250cd0ea4280e9a38e39d404978726,87.5,"Quiz_Submitted, Quiz_Viewed, Quiz_Reviewed, Quiz_Started, Files_Uploaded","5.187, 1.962, 1.778, -1.607, -1.462"
f88692cda63f7c5854af8caba1e25f53fe38ec9c2464b9120dd222972dccb189,62.5,"Quiz_Submitted, Quiz_Reviewed, Quiz_Viewed, Quiz_Started, Files_Uploaded","5.622, 2.379, 1.741, -1.541, -1.477"
edf2fa83dce33bb31f85f7b2a598c194012b97b231ab56e263b3f95e8361316c,100.0,"Meeting_Joined, Quiz_Submitted, Files_Uploaded, Quiz_Reviewed, Quiz_Started","-4.580, 3.473, 3.239, -2.026, -1.560"
dd0fb23ba8de73fe7ad8e031ffe5495be184a4f54a4a53ce852e26d3a187271d,55.55555,"Files_Uploaded, Quiz_Reviewed, Messages_Sent, Quiz_Started, Session_Interval_CV","3.010, 1.883, -1.820, -1.339, -0.827"
1c48cf024b30eabcb9c5173cb39a2a8c288853165ca78136567a583c683aac9d,100.0,"Quiz_Submitted, Quiz_Reviewed, Assignments_Submitted, Content_Views, Course_Views","-6.343, -5.212, -1.650, 1.318, -1.103"
b1e320e269f4962876292fab4a85424aede6028f31d06b4ea8aa288701ddcccf,95.07937,"Quiz_Submitted, Module_Views, Quiz_Reviewed, Quiz_Started, Quiz_Viewed","3.297, -1.907, 1.650, -1.461, -1.436"
7bbf057a4d691a0af2c2c8764e0630846c7e90e5966819774daf0c3a77bb9529,88.8889,"Quiz_Submitted, Quiz_Reviewed, Files_Uploaded, Meeting_Joined, Quiz_Viewed","2.345, 2.250, 2.010, -1.812, -1.474"
d1db8fddbd50b3af77c50164ab0b198e96b350d48492bb36b9338b9de597b8fa,100.0,"Quiz_Submitted, Quiz_Viewed, Files_Uploaded, Quiz_Reviewed, Quiz_Started","5.859, 2.459, -1.984, 1.722, -1.549"
51c759dff6269935f6e1649804cd5920807a50818c0f6713cee345d4d8249794,100.0,"Quiz_Submitted, Quiz_Reviewed, Quiz_Started, Files_Uploaded, Session_Interval_CV","7.196, 2.574, -2.416, 1.738, -1.056"
